,voice,acc
455,4.48531,4.76261
456,4.78726,5.79
457,4.704,4.79403
458,4.54432,4.56493
459,5.5599,4.05227
460,3.78005,5.42553
461,5.33571,5.83361
462,3.85208,6.41884
463,-0.65906,4.82092
464,3.38701,2.80877
465,-0.02644,7.16693
466,-60.52251,7.6149
467,-50.34348,7.74777
468,-44.5549,7.94288
469,-43.30348,8.3999
470,-43.00621,8.28227
471,-44.86256,8.6519
472,-45.04624,8.03289
473,-43.79219,7.95085
474,-43.99957,8.19158
475,1.95371,7.22607
476,3.61364,6.95101
477,4.59651,4.86811
478,3.43263,5.69313
479,4.48792,5.00289
480,2.1566,5.17008
481,4.53758,6.71415
482,4.11677,5.50738
483,3.61927,5.96732
484,4.33963,5.78711
485,3.97398,5.55273
486,3.8433,5.67001
487,4.43001,4.72617
488,-3.82965,3.5873
489,-1.36999,5.28815
490,3.66996,5.6119
491,3.68254,5.52567
492,4.46705,4.60228
493,-0.51248,4.52307
494,5.44902,12.24683
495,5.28207,4.60613
496,3.11145,5.63446
497,0.37724,3.65631
498,5.17645,4.11261
499,5.12866,3.83338
500,6.30862,4.57987
501,3.46948,5.35217
502,4.09839,5.17357
503,4.86355,3.68871
504,3.46381,5.57833
505,4.55356,5.27122
506,5.06282,4.94679
507,4.30797,4.06477
508,4.554,3.13206
509,5.59636,2.98233
510,4.22401,5.2282
511,5.47651,5.50869
512,3.84069,4.8824
513,0.53295,5.31205
514,2.65289,2.6273
515,2.23083,7.15921
516,-2.76554,7.51057
517,-5.80658,7.04701
518,-8.62075,8.26013
519,-44.41159,6.06067
520,-43.87074,7.23561
521,-44.19326,7.94863
522,-45.69626,7.33854
523,-50.82593,6.19727
524,-14.84902,8.37789
525,2.62605,5.33938
526,2.49894,3.86808
527,2.86793,3.72103
528,5.28081,1.29012
529,4.85542,5.03572
530,4.08194,4.61866
531,4.40648,2.29748
532,5.05216,5.63047
533,4.57311,3.39448
534,4.4208,4.43481
535,2.8577,5.64861
536,3.42259,4.40324
537,3.61334,5.53145
538,3.93464,3.52915
539,4.20311,4.7659
540,3.02272,5.71572
541,3.63199,4.99043
542,4.39839,5.32086
543,3.08652,3.30533
544,4.51301,5.9826
545,5.49833,5.36798
546,2.38588,5.66322
547,0.11547,3.91326
548,4.43723,3.43147
549,5.09087,3.82007
550,6.02095,5.17888
551,4.24892,5.29891
552,4.41212,4.14468
553,4.66287,4.27412
554,2.98596,4.66278
555,4.59885,5.75529
556,5.12931,5.50275
557,5.07623,5.09811
558,4.43722,3.0067
559,5.08063,2.45871
560,3.29866,4.30947
561,4.4326,4.709
562,3.55372,5.94021
563,4.6247,6.02127
564,3.98965,6.9114
565,5.17751,5.90646
566,2.21379,5.88937
567,0.19534,4.04087
568,4.36547,4.1106
569,4.06127,4.3038
570,5.19689,5.28358
571,3.77162,6.01646
572,3.74133,4.41054
573,4.78491,4.06353
574,5.68127,4.02366
575,2.70701,6.02012
576,4.68151,5.15817
577,3.0479,4.66222
578,3.53035,4.60338
579,5.16051,3.31959
580,3.29335,4.9713
581,4.52644,5.2007
582,3.23622,5.45612
583,0.03634,6.09619
584,2.80111,5.59111
585,4.46556,5.06607
586,-14.3668,5.33679
587,-16.00754,-4.87032
588,-12.6241,17.31553
589,-4.39355,12.58585
590,-4.50184,12.7704
591,-6.65923,12.33304
592,-6.49859,13.03603
593,-3.90736,11.97404
594,-11.72553,11.71169
595,-6.52306,12.95585
596,-5.36166,11.52904
597,-8.50921,11.9846
598,-7.44125,12.60642
599,8.86591,11.0896
600,5.31247,8.23492
601,7.88983,9.06307
602,11.09775,9.5146
603,6.06085,9.55841
604,-8.5822,11.48825
605,6.73684,10.19925
606,1.56408,8.16011
607,2.9883,6.07646
608,2.59946,5.06368
609,0.25603,10.4805
610,4.19267,11.14839
611,9.58767,10.26114
612,8.85146,10.25303
613,9.75943,9.00968
614,7.30917,8.54522
615,6.32989,10.31821
616,7.3722,10.18697
617,3.91313,8.6234
618,2.81035,7.30964
619,1.98359,5.29792
620,2.60909,10.54537
621,-10.39156,10.96025
622,8.13884,9.76057
623,6.17372,8.88646
624,6.76258,8.58373
625,3.90296,8.68558
626,-0.70275,11.49324
627,5.89812,9.76659
628,8.46054,10.00949
629,3.7801,8.58366
630,1.52631,10.10768
631,-9.44734,11.92485
632,-19.89368,10.47549
633,4.48802,8.37362
634,5.58096,8.80226
635,8.62073,8.9642
636,7.12314,9.95938
637,7.50516,11.61275
638,6.43191,10.26842
639,5.13197,8.72635
640,2.54518,7.58415
641,3.23984,5.96962
642,0.17305,9.43676
643,-7.94833,11.02151
644,5.00022,9.61393
645,4.56084,10.24532
646,3.63148,9.62464
647,4.29529,7.82601
648,4.39178,7.62877
649,1.86086,10.99553
650,7.04179,10.23184
651,6.11088,9.49549
652,5.94439,7.01862
653,3.82558,6.8301
654,1.92614,9.50423
655,6.42432,10.32166
656,7.06706,8.99858
657,7.76126,10.44711
658,5.09787,8.01847
659,7.74639,7.93704
660,7.91947,9.57588
661,5.79743,8.74779
662,9.19136,9.79227
663,2.38083,9.4756
664,4.96337,8.57949
665,10.27025,9.88559
666,7.30307,8.47518
667,5.11302,11.02408
668,-8.65601,10.79034
669,7.13173,9.43544
670,4.56977,8.89534
671,1.87484,6.25379
672,0.61646,7.8656
673,-3.41779,11.30304
674,3.73128,8.4875
675,4.36418,9.44585
676,1.67371,11.08727
677,2.60486,8.19301
678,3.84905,8.65225
679,4.37677,8.90548
680,3.98787,8.46226
681,4.90643,10.45724
682,1.4813,9.71923
683,1.65206,8.6721
684,2.81141,8.20887
685,3.30592,10.38853
686,-1.50487,11.28242
687,5.40797,9.42895
688,4.89454,9.27799
689,5.50405,10.82018
690,6.05902,9.00853
691,6.05026,8.75832
692,7.54452,10.75332
693,4.99288,8.5895
694,9.22309,9.74759
695,6.74213,8.901
696,3.95261,8.73477
697,0.65465,9.12404
698,-0.11474,12.25334
699,1.54576,8.94423
700,3.25045,9.4347
701,3.28102,7.41636
702,4.02998,7.59118
703,2.26069,7.46048
704,0.65916,9.04393
705,-4.77715,11.86086
706,-8.36016,11.85112
707,4.88313,10.79557
708,4.62104,9.02292
709,4.9946,8.46737
710,4.878,7.97475
711,4.51713,10.9841
712,-22.64314,10.94462
713,6.63889,9.46744
714,4.45771,9.09747
715,1.87508,7.1504
716,1.18924,8.47125
717,0.05293,10.98151
718,-12.53114,11.06628
719,6.20411,9.07237
720,7.47795,10.13396
721,3.52967,8.56351
722,2.76477,6.85373
723,9.72964,9.42008
724,6.31883,9.68752
725,6.71365,8.42682
726,10.45678,10.261
727,7.19409,9.10096
728,11.05722,9.44207
729,12.56974,10.18857
730,5.70339,9.25513
731,11.21072,10.65501
732,7.66194,10.82308
733,8.70917,10.45852
734,4.52804,6.33483
735,1.60054,8.04937
736,8.52517,9.81708
737,3.69293,6.90047
738,0.85299,8.76887
739,4.4194,8.75178
740,7.24588,8.41459
741,7.45224,9.90698
